시군구_코드,도로_일련번호,법정동_일련번호,도로_명,영문_도로_명,시도_명,시군구_명,법정동_구분,법정동_코드,법정동_명,상위_도로_일련번호,상위_도로_명,새주소_사용여부,변경_이력_사유_코드,변경_이력_정보,법정동_번호,도로_코드
11710,4169079,0,마천로13길,Macheon-ro 13-gil,서울특별시,송파구,2,0,,3123004,,0,,,,117104169079 
11710,4169080,1,마천로14길,Macheon-ro 14-gil,서울특별시,송파구,1,11201,오금동,3123004,,1,,,112,117104169080 
11710,4169080,0,마천로14길,Macheon-ro 14-gil,서울특별시,송파구,2,0,,3123004,,1,,,,117104169080 
11710,4169081,1,마천로15길,Macheon-ro 15-gil,서울특별시,송파구,1,11201,오금동,3123004,,0,,,112,117104169081 
11710,4169081,0,마천로15길,Macheon-ro 15-gil,서울특별시,송파구,2,0,,3123004,,0,,,,117104169081 
11710,4169012,0,가락로2길,Garak-ro 2-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169012 
11710,4169013,1,가락로30길,Garak-ro 30-gil,서울특별시,송파구,1,10401,송파동,3123001,,0,,,104,117104169013 
11710,4169013,0,가락로30길,Garak-ro 30-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169013 
11710,4169014,1,가락로31길,Garak-ro 31-gil,서울특별시,송파구,1,10401,송파동,3123001,,0,,,104,117104169014 
11710,4169014,0,가락로31길,Garak-ro 31-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169014 
11710,4169015,1,가락로33길,Garak-ro 33-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169015 
11710,4169015,0,가락로33길,Garak-ro 33-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169015 
11710,4169016,1,가락로34길,Garak-ro 34-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169016 
11710,4169016,0,가락로34길,Garak-ro 34-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169016 
11710,4169017,1,가락로36길,Garak-ro 36-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169017 
11710,4169017,0,가락로36길,Garak-ro 36-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169017 
11710,4169018,1,가락로37길,Garak-ro 37-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169018 
11710,4169018,0,가락로37길,Garak-ro 37-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169018 
11710,4169019,1,가락로38길,Garak-ro 38-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169019 
11710,4169019,0,가락로38길,Garak-ro 38-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169019 
11710,4169020,1,가락로39길,Garak-ro 39-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169020 
11710,4169020,0,가락로39길,Garak-ro 39-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169020 
11710,4169021,1,가락로3길,Garak-ro 3-gil,서울특별시,송파구,1,10501,석촌동,3123001,,0,,,105,117104169021 
11710,4169021,0,가락로3길,Garak-ro 3-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169021 
11710,4169022,1,가락로40길,Garak-ro 40-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169022 
11710,4169022,0,가락로40길,Garak-ro 40-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169022 
11710,4169023,1,가락로42길,Garak-ro 42-gil,서울특별시,송파구,1,11101,방이동,3123001,,0,,,111,117104169023 
11710,4169023,0,가락로42길,Garak-ro 42-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169023 
11710,4169024,1,가락로5길,Garak-ro 5-gil,서울특별시,송파구,1,10501,석촌동,3123001,,0,,,105,117104169024 
11710,4169024,0,가락로5길,Garak-ro 5-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169024 
11710,4169025,1,가락로6길,Garak-ro 6-gil,서울특별시,송파구,1,10501,석촌동,3123001,,0,,,105,117104169025 
11710,4169025,0,가락로6길,Garak-ro 6-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169025 
11710,4169026,1,가락로7길,Garak-ro 7-gil,서울특별시,송파구,1,10501,석촌동,3123001,,0,,,105,117104169026 
11710,4169026,0,가락로7길,Garak-ro 7-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169026 
11710,4169027,1,가락로9길,Garak-ro 9-gil,서울특별시,송파구,1,10501,석촌동,3123001,,0,,,105,117104169027 
